NAMESPACE              NAME                                         READY   STATUS             RESTARTS   AGE     IP                NODE         NOMINATED NODE   READINESS GATES
cache                  redis-7b8446847d-hhtx5                       1/1     Running            0          2d21h   192.168.38.69     worker-4     <none>           <none>
database               mysql-7f5569f55d-gnlnn                       1/1     Running            0          2d19h   192.168.133.195   worker-2     <none>           <none>
database               postgres-757885f655-8hv9m                    1/1     Running            0          2d21h   192.168.133.194   worker-2     <none>           <none>
kube-system            calico-kube-controllers-5b64744bcd-65dd7     1/1     Running            0          2d23h   192.168.235.194   k8s-master   <none>           <none>
kube-system            calico-node-4cp69                            1/1     Running            0          2d23h   192.168.0.4       worker-2     <none>           <none>
kube-system            calico-node-54stq                            1/1     Running            0          2d23h   192.168.0.3       worker-1     <none>           <none>
kube-system            calico-node-7kfjq                            1/1     Running            0          2d23h   192.168.0.2       k8s-master   <none>           <none>
kube-system            calico-node-md7r5                            1/1     Running            0          2d23h   192.168.0.5       worker-3     <none>           <none>
kube-system            calico-node-x9hz7                            1/1     Running            0          2d23h   192.168.0.6       worker-4     <none>           <none>
kube-system            coredns-55cb58b774-kcsn8                     1/1     Running            0          2d23h   192.168.235.193   k8s-master   <none>           <none>
kube-system            coredns-55cb58b774-s6tv7                     1/1     Running            0          2d23h   192.168.235.195   k8s-master   <none>           <none>
kube-system            etcd-k8s-master                              1/1     Running            0          2d23h   192.168.0.2       k8s-master   <none>           <none>
kube-system            kube-apiserver-k8s-master                    1/1     Running            0          2d23h   192.168.0.2       k8s-master   <none>           <none>
kube-system            kube-controller-manager-k8s-master           1/1     Running            0          2d23h   192.168.0.2       k8s-master   <none>           <none>
kube-system            kube-proxy-2nj2w                             1/1     Running            0          2d23h   192.168.0.3       worker-1     <none>           <none>
kube-system            kube-proxy-c4k57                             1/1     Running            0          2d23h   192.168.0.4       worker-2     <none>           <none>
kube-system            kube-proxy-hnnmb                             1/1     Running            0          2d23h   192.168.0.2       k8s-master   <none>           <none>
kube-system            kube-proxy-pmk9g                             1/1     Running            0          2d23h   192.168.0.5       worker-3     <none>           <none>
kube-system            kube-proxy-wvtmq                             1/1     Running            0          2d23h   192.168.0.6       worker-4     <none>           <none>
kube-system            kube-scheduler-k8s-master                    1/1     Running            0          2d23h   192.168.0.2       k8s-master   <none>           <none>
kube-system            metrics-server-55c97fdccb-m8hrj              1/1     Running            0          49m     192.168.97.195    worker-3     <none>           <none>
kubernetes-dashboard   dashboard-metrics-scraper-795895d745-8c69j   1/1     Running            0          37m     192.168.38.72     worker-4     <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-56cf4b97c5-lclk8        1/1     Running            0          37m     192.168.38.71     worker-4     <none>           <none>
storage                minio-694b84fdbc-gcbfj                       1/1     Running            0          2d20h   192.168.97.194    worker-3     <none>           <none>
web                    apache-8875fdbc8-btxvc                       1/1     Running            0          2d21h   192.168.226.68    worker-1     <none>           <none>
web                    apache-8875fdbc8-cfnkf                       1/1     Running            0          2d21h   192.168.226.67    worker-1     <none>           <none>
web                    nginx-5b45c89dd-wkfd5                        0/1     ImagePullBackOff   0          19m     192.168.226.86    worker-1     <none>           <none>
web                    nginx-5bcbf5f8d6-7wff4                       1/1     Running            0          55m     192.168.226.85    worker-1     <none>           <none>
web                    nginx-5bcbf5f8d6-c4s79                       1/1     Running            0          55m     192.168.226.84    worker-1     <none>           <none>
